id,created_at,text
824970004726763520,2017-01-27 13:19:10,"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &amp;amp; little help on the very weak border must change, NOW!"
824968423495127041,2017-01-27 13:12:53,"Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3,000,000 votes were illegal. We must do better!"
824616645608009728,2017-01-26 13:55:03,"of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting."
824615822052225024,2017-01-26 13:51:47,The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers...
824573700032884736,2017-01-26 11:04:24,"Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!"
824448882268577792,2017-01-26 02:48:25,Interview with David Muir of @ABC News in 10 minutes. Enjoy!
824448158411452416,2017-01-26 02:45:33,"""@romoabcnews: .@DavidMuir first @POTUS interview since taking office.  Tonight on @ABCWorldNews @ABC2020 tonight. https://t.co/jejkBnBPp5"""
824229587374772224,2017-01-25 12:17:01,I will be making my Supreme Court pick on Thursday of next week.Thank you!
824228769527459841,2017-01-25 12:13:46,"even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!"
824227826467565568,2017-01-25 12:10:01,"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and...."
824083823130505217,2017-01-25 02:37:48,"Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!"
824082963285602305,2017-01-25 02:34:23,"Big day planned on national security for tomorrow! Amoung many other things, we will build the wall."
824080768364408832,2017-01-25 02:25:40,"If Chicago doesn't fix the horrible ""carnage"" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!"
824078419159904258,2017-01-25 02:16:20,Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!
823850783212994560,2017-01-24 11:11:47,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!
823495060494962688,2017-01-23 11:38:16,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.
823174200320028672,2017-01-22 14:23:17,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views."
823151126128328705,2017-01-22 12:51:36,"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!"
823150056626946048,2017-01-22 12:47:21,Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.
823146988799721473,2017-01-22 12:35:10,"Had a great meeting at CIA Headquarters yesterday, packed house, paid great respect to Wall, long standing ovations, amazing people. WIN!"
822850743845748737,2017-01-21 16:57:59,"I am honered to serve you, the great American People, as your 45th President of the United States!"
822774163278598144,2017-01-21 11:53:41,A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!
822421391941238784,2017-01-20 12:31:54,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!
822176439919316992,2017-01-19 20:18:33,Great Concert at 4:00 P.M. today at Lincoln Memorial. Enjoy!
822066655647977472,2017-01-19 13:02:18,"the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!"
822066133763293184,2017-01-19 13:00:14,"Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for.."
822064154890604544,2017-01-19 12:52:22,"""It wasn't Donald Trump that divided this country, this country has been divided for a long time!"" Stated today by Reverend Franklin Graham."
821719764519256065,2017-01-18 14:03:53,.@TheAlabamaBand was great last night in D.C. playing for 147 Diplomats and Ambassadors from countries around the world. Thanks Alabama!
821705441499611136,2017-01-18 13:06:58,No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!
821703904308199424,2017-01-18 13:00:51,"""Bayer AG has pledged to add U.S. jobs and investments after meeting with President-elect Donald Trump, the latest in a string..."" @WSJ"
821699673975091200,2017-01-18 12:44:03,"to the U.S., but had nothing to do with TRUMP, is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!"
821686930295390208,2017-01-18 11:53:25,Will be interviewed by @ainsleyearhardt on @foxandfriends - Enjoy!
821369653385658368,2017-01-17 14:52:40,"""thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president."" Sound familiar! WP"
821368090185318401,2017-01-17 14:46:27,"John Lewis said about my inauguration, ""It will be the first one that I've missed."" WRONG (or lie)! He boycotted Bush 43 also because he..."
821365570402709505,2017-01-17 14:36:26,"country and with the massive cost reductions I have negotiated on military purchases and more, I believe the people are seeing ""big stuff."""
821364028689842176,2017-01-17 14:30:19,"With all of the jobs I am bringing back into the U.S. (even before taking office), with all of the new auto plants coming back into our....."
